epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.931,2.01954,1.76259,1.04476,0.41992,0.74506,0.39523,0.15466,1.9148,1.41879,0.99449,0.000666412,0.000666412,0.000666412
2,627.189,1.77761,1.21083,0.99002,0.50322,0.782,0.64568,0.30608,1.72962,1.15233,0.95441,0.000673205,0.000673205,0.000673205
